id_detalle_venta,fecha_venta,id_producto,cantidad
102,2022-12-16,228,1
103,2022-12-16,73,1
104,2022-12-16,147,2
105,2022-12-16,105,2
106,2022-12-16,195,2
107,2022-12-16,285,2
108,2022-12-16,121,2
109,2022-12-16,261,2
110,2022-12-16,145,3
111,2022-12-16,277,3
112,2022-12-16,255,4
113,2022-12-16,229,5
114,2022-12-16,155,6
115,2022-12-16,56,6
116,2022-12-16,57,10
117,2022-12-16,120,10
118,2022-12-16,191,10
119,2022-12-16,277,10
120,2022-12-16,66,10
121,2022-12-16,300,15
122,2022-12-16,247,18
123,2022-12-16,292,20
124,2022-12-16,7,22
125,2022-12-16,155,35
126,2022-12-16,303,50
127,2022-12-16,227,60
128,2022-12-16,161,63
129,2022-12-16,7,74
130,2022-12-16,155,84
131,2022-12-16,2,100
132,2022-12-16,152,120
133,2022-12-16,1,140
134,2022-12-16,210,162
135,2022-12-16,295,200
136,2022-12-16,112,210
137,2022-12-16,54,263
138,2022-12-16,55,298
139,2022-12-16,231,369
140,2022-12-16,293,445
141,2022-12-16,6,988
142,2022-12-17,99,1
143,2022-12-17,21,1
144,2022-12-17,103,1
145,2022-12-17,182,1
146,2022-12-17,278,1
147,2022-12-17,58,1
148,2022-12-17,95,1
149,2022-12-17,73,1
150,2022-12-17,226,3
151,2022-12-17,121,3
152,2022-12-17,279,3
153,2022-12-17,54,4
154,2022-12-17,148,5
155,2022-12-17,288,5
156,2022-12-17,142,5
157,2022-12-17,239,7
158,2022-12-17,284,10
159,2022-12-17,296,20
160,2022-12-17,225,20
161,2022-12-17,8,46
162,2022-12-17,114,85
163,2022-12-17,157,97
164,2022-12-17,217,126
165,2022-12-17,206,330
166,2022-12-17,106,333
167,2022-12-17,190,420
168,2022-12-17,210,4381
169,2022-12-18,226,1
170,2022-12-18,103,1
171,2022-12-18,286,1
172,2022-12-18,99,1
173,2022-12-18,301,1
174,2022-12-18,27,1
175,2022-12-18,31,1
176,2022-12-18,144,1
177,2022-12-18,27,1
178,2022-12-18,73,1
179,2022-12-18,228,2
180,2022-12-18,65,2
181,2022-12-18,283,3
182,2022-12-18,228,4
183,2022-12-18,125,4
184,2022-12-18,122,4
185,2022-12-18,111,5
186,2022-12-18,283,5
187,2022-12-18,50,5
188,2022-12-18,279,6
189,2022-12-18,63,8
190,2022-12-18,184,11
191,2022-12-18,292,12
192,2022-12-18,205,17
193,2022-12-18,110,25
194,2022-12-18,198,31
195,2022-12-18,229,49
196,2022-12-18,258,57
197,2022-12-18,116,67
198,2022-12-18,113,425
199,2022-12-18,153,500
200,2022-12-18,184,580
201,2022-12-18,217,756
202,2022-12-19,61,1
203,2022-12-19,225,1
204,2022-12-19,27,1
205,2022-12-19,240,1
206,2022-12-19,97,1
207,2022-12-19,182,1
208,2022-12-19,99,1
209,2022-12-19,230,1
210,2022-12-19,247,2
211,2022-12-19,278,2
212,2022-12-19,65,2
213,2022-12-19,45,3
214,2022-12-19,281,3
215,2022-12-19,64,3
216,2022-12-19,279,3
217,2022-12-19,148,6
218,2022-12-19,144,7
219,2022-12-19,281,7
220,2022-12-19,292,9
221,2022-12-19,222,10
222,2022-12-19,300,12
223,2022-12-19,247,18
224,2022-12-19,229,27
225,2022-12-19,9,37
226,2022-12-19,184,42
227,2022-12-19,190,50
228,2022-12-19,290,60
229,2022-12-19,290,102
230,2022-12-19,109,160
231,2022-12-19,204,215
232,2022-12-19,156,249
233,2022-12-19,294,250
234,2022-12-19,216,332
235,2022-12-19,247,474
236,2022-12-19,280,600
237,2022-12-19,1,1220
238,2022-12-19,113,1800
239,2022-12-19,156,1800
240,2022-12-20,282,1
241,2022-12-20,103,1
242,2022-12-20,248,1
243,2022-12-20,235,1
244,2022-12-20,45,1
245,2022-12-20,64,1
246,2022-12-20,27,1
247,2022-12-20,17,1
248,2022-12-20,241,2
249,2022-12-20,281,2
250,2022-12-20,50,2
251,2022-12-20,281,2
252,2022-12-20,195,3
253,2022-12-20,56,4
254,2022-12-20,288,5
255,2022-12-20,122,6
256,2022-12-20,298,6
257,2022-12-20,224,6
258,2022-12-20,291,10
259,2022-12-20,291,15
260,2022-12-20,7,18
261,2022-12-20,279,20
262,2022-12-20,115,40
263,2022-12-20,152,294
264,2022-12-20,14,468
265,2022-12-20,303,612
266,2022-12-20,303,1200
267,2022-12-20,303,2207
268,2022-12-21,140,1
269,2022-12-21,240,1
270,2022-12-21,104,1
271,2022-12-21,65,1
272,2022-12-21,284,2
273,2022-12-21,140,2
274,2022-12-21,64,2
275,2022-12-21,283,3
276,2022-12-21,22,4
277,2022-12-21,66,5
278,2022-12-21,256,5
279,2022-12-21,229,6
280,2022-12-21,122,6
281,2022-12-21,281,6
282,2022-12-21,36,7
283,2022-12-21,38,7
284,2022-12-21,62,8
285,2022-12-21,122,11
286,2022-12-21,54,13
287,2022-12-21,296,14
288,2022-12-21,226,14
289,2022-12-21,159,22
290,2022-12-21,194,31
291,2022-12-21,7,40
292,2022-12-21,115,40
293,2022-12-21,112,55
294,2022-12-21,54,80
295,2022-12-21,9,80
296,2022-12-21,55,100
297,2022-12-21,117,133
298,2022-12-21,153,145
299,2022-12-21,107,170
300,2022-12-21,110,190
301,2022-12-21,117,200
302,2022-12-21,295,200
303,2022-12-21,215,318
304,2022-12-21,106,340
305,2022-12-21,6,400
306,2022-12-21,294,500
307,2022-12-21,295,500
308,2022-12-21,6,1080
309,2022-12-22,195,1
310,2022-12-22,230,1
311,2022-12-22,224,1
312,2022-12-22,235,1
313,2022-12-22,45,1
314,2022-12-22,248,1
315,2022-12-22,137,2
316,2022-12-22,64,2
317,2022-12-22,245,2
318,2022-12-22,246,2
319,2022-12-22,150,3
320,2022-12-22,45,3
321,2022-12-22,298,5
322,2022-12-22,283,6
323,2022-12-22,54,6
324,2022-12-22,57,7
325,2022-12-22,118,7
326,2022-12-22,298,8
327,2022-12-22,287,8
328,2022-12-22,240,10
329,2022-12-22,287,17
330,2022-12-22,287,50
331,2022-12-22,8,55
332,2022-12-22,107,65
333,2022-12-22,109,70
334,2022-12-22,2,70
335,2022-12-22,200,71
336,2022-12-22,199,87
337,2022-12-22,289,100
338,2022-12-22,55,122
339,2022-12-22,181,200
340,2022-12-22,54,250
341,2022-12-22,303,330
342,2022-12-22,207,582
343,2022-12-22,156,1230
344,2022-12-22,167,1335
345,2022-12-23,143,1
346,2022-12-23,255,1
347,2022-12-23,180,1
348,2022-12-23,137,1
349,2022-12-23,109,2
350,2022-12-23,300,2
351,2022-12-23,45,2
352,2022-12-23,145,2
353,2022-12-23,229,2
354,2022-12-23,281,2
355,2022-12-23,248,2
356,2022-12-23,285,2
357,2022-12-23,256,3
358,2022-12-23,63,3
359,2022-12-23,286,3
360,2022-12-23,251,4
361,2022-12-23,64,4
362,2022-12-23,125,4
363,2022-12-23,222,4
364,2022-12-23,246,5
365,2022-12-23,144,6
366,2022-12-23,64,10
367,2022-12-23,219,13
368,2022-12-23,123,14
369,2022-12-23,227,30
370,2022-12-23,38,35
371,2022-12-23,38,35
372,2022-12-23,109,40
373,2022-12-23,108,50
374,2022-12-23,258,68
375,2022-12-23,215,90
376,2022-12-23,1,170
377,2022-12-23,1,284
378,2022-12-23,153,400
379,2022-12-23,181,743
380,2022-12-23,293,1100
381,2022-12-23,181,2000
382,2022-12-24,104,1
383,2022-12-24,179,1
384,2022-12-24,226,1
385,2022-12-24,229,2
386,2022-12-24,66,2
387,2022-12-24,144,2
388,2022-12-24,120,3
389,2022-12-24,147,4
390,2022-12-24,277,5
391,2022-12-24,254,5
392,2022-12-24,292,6
393,2022-12-24,108,8
394,2022-12-24,115,20
395,2022-12-24,109,23
396,2022-12-24,210,24
397,2022-12-24,7,37
398,2022-12-24,111,55
399,2022-12-24,158,110
400,2022-12-24,247,144
401,2022-12-24,181,200
402,2022-12-24,161,225
403,2022-12-24,190,250
404,2022-12-24,287,254
405,2022-12-24,55,259
406,2022-12-24,6,363
407,2022-12-24,117,511
408,2022-12-24,3,914
409,2022-12-25,94,1
410,2022-12-25,219,1
411,2022-12-25,245,1
412,2022-12-25,104,1
413,2022-12-25,292,1
414,2022-12-25,58,1
415,2022-12-25,262,1
416,2022-12-25,278,1
417,2022-12-25,256,2
418,2022-12-25,205,2
419,2022-12-25,138,5
420,2022-12-25,284,5
421,2022-12-25,62,5
422,2022-12-25,244,7
423,2022-12-25,225,10
424,2022-12-25,247,12
425,2022-12-25,149,13
426,2022-12-25,2,31
427,2022-12-25,292,50
428,2022-12-25,190,62
429,2022-12-25,107,85
430,2022-12-25,1,150
431,2022-12-25,158,210
432,2022-12-25,107,240
433,2022-12-25,104,616
434,2022-12-26,183,1
435,2022-12-26,278,1
436,2022-12-26,60,1
437,2022-12-26,222,1
438,2022-12-26,179,1
439,2022-12-26,248,1
440,2022-12-26,60,1
441,2022-12-26,241,1
442,2022-12-26,103,1
443,2022-12-26,31,1
444,2022-12-26,208,2
445,2022-12-26,63,3
446,2022-12-26,254,4
447,2022-12-26,145,4
448,2022-12-26,231,4
449,2022-12-26,256,5
450,2022-12-26,284,5
451,2022-12-26,218,5
452,2022-12-26,130,6
453,2022-12-26,222,7
454,2022-12-26,108,10
455,2022-12-26,1,40
456,2022-12-26,10,47
457,2022-12-26,55,51
458,2022-12-26,131,56
459,2022-12-26,54,57
460,2022-12-26,224,66
461,2022-12-26,3,80
462,2022-12-26,291,100
463,2022-12-26,7,137
464,2022-12-26,1,240
465,2022-12-26,291,280
466,2022-12-26,6,357
467,2022-12-26,14,450
468,2022-12-26,295,1000
469,2022-12-26,293,1300
470,2022-12-26,5,8171
471,2022-12-27,219,1
472,2022-12-27,99,1
473,2022-12-27,73,1
474,2022-12-27,104,1
475,2022-12-27,205,1
476,2022-12-27,100,1
477,2022-12-27,219,1
478,2022-12-27,284,1
479,2022-12-27,248,1
480,2022-12-27,228,1
481,2022-12-27,242,1
482,2022-12-27,140,2
483,2022-12-27,107,2
484,2022-12-27,46,2
485,2022-12-27,282,2
486,2022-12-27,245,3
487,2022-12-27,141,3
488,2022-12-27,99,4
489,2022-12-27,144,6
490,2022-12-27,140,6
491,2022-12-27,136,6
492,2022-12-27,195,6
493,2022-12-27,277,8
494,2022-12-27,246,12
495,2022-12-27,43,14
496,2022-12-27,288,15
497,2022-12-27,180,15
498,2022-12-27,37,16
499,2022-12-27,7,24
500,2022-12-27,101,46
501,2022-12-27,227,50
502,2022-12-27,294,58
503,2022-12-27,190,150
504,2022-12-27,112,153
505,2022-12-27,294,300
506,2022-12-27,247,330
507,2022-12-27,8,374
508,2022-12-27,181,387
509,2022-12-27,113,600
510,2022-12-27,153,604
511,2022-12-27,6,840
512,2022-12-28,219,1
513,2022-12-28,230,1
514,2022-12-28,162,1
515,2022-12-28,286,1
516,2022-12-28,140,2
517,2022-12-28,245,2
518,2022-12-28,195,2
519,2022-12-28,261,3
520,2022-12-28,36,4
521,2022-12-28,46,4
522,2022-12-28,119,4
523,2022-12-28,282,4
524,2022-12-28,132,4
525,2022-12-28,48,5
526,2022-12-28,48,5
527,2022-12-28,278,5
528,2022-12-28,279,5
529,2022-12-28,48,7
530,2022-12-28,277,7
531,2022-12-28,122,13
532,2022-12-28,37,15
533,2022-12-28,57,16
534,2022-12-28,54,19
535,2022-12-28,108,28
536,2022-12-28,119,30
537,2022-12-28,290,50
538,2022-12-28,37,50
539,2022-12-28,107,204
540,2022-12-28,9,264
541,2022-12-28,107,305
542,2022-12-28,181,315
543,2022-12-28,1,905
544,2022-12-28,295,2000
545,2022-12-29,261,1
546,2022-12-29,73,1
547,2022-12-29,182,1
548,2022-12-29,105,1
549,2022-12-29,45,1
550,2022-12-29,126,1
551,2022-12-29,126,2
552,2022-12-29,219,2
553,2022-12-29,285,2
554,2022-12-29,105,2
555,2022-12-29,219,2
556,2022-12-29,147,3
557,2022-12-29,250,4
558,2022-12-29,140,4
559,2022-12-29,251,5
560,2022-12-29,246,6
561,2022-12-29,282,7
562,2022-12-29,36,8
563,2022-12-29,36,8
564,2022-12-29,229,11
565,2022-12-29,54,22
566,2022-12-29,297,24
567,2022-12-29,125,25
568,2022-12-29,247,30
569,2022-12-29,292,35
570,2022-12-29,9,63
571,2022-12-29,199,92
572,2022-12-29,265,100
573,2022-12-29,290,120
574,2022-12-29,172,200
575,2022-12-29,254,222
576,2022-12-29,153,396
577,2022-12-29,204,580
578,2022-12-29,217,700
579,2022-12-30,100,1
580,2022-12-30,230,1
581,2022-12-30,100,1
582,2022-12-30,248,1
583,2022-12-30,182,1
584,2022-12-30,196,1
585,2022-12-30,63,2
586,2022-12-30,256,2
587,2022-12-30,282,2
588,2022-12-30,97,2
589,2022-12-30,250,3
590,2022-12-30,298,3
591,2022-12-30,126,3
592,2022-12-30,97,3
593,2022-12-30,283,3
594,2022-12-30,222,5
595,2022-12-30,40,7
596,2022-12-30,277,8
597,2022-12-30,218,9
598,2022-12-30,38,9
599,2022-12-30,277,10
600,2022-12-30,196,13
601,2022-12-30,247,18
602,2022-12-30,218,18
603,2022-12-30,218,26
604,2022-12-30,118,27
605,2022-12-30,55,30
606,2022-12-30,112,50
607,2022-12-30,279,50
608,2022-12-30,218,53
609,2022-12-30,287,60
610,2022-12-30,190,95
611,2022-12-30,55,117
612,2022-12-30,261,137
613,2022-12-30,1,242
614,2022-12-30,106,275
615,2022-12-30,211,592
616,2022-12-30,293,783
617,2022-12-30,294,800
618,2022-12-30,294,950
619,2022-12-30,303,5880
620,2022-12-31,104,1
621,2022-12-31,148,1
622,2022-12-31,248,1
623,2022-12-31,73,1
624,2022-12-31,230,1
625,2022-12-31,228,1
626,2022-12-31,56,1
627,2022-12-31,64,1
628,2022-12-31,104,1
629,2022-12-31,65,1
630,2022-12-31,45,2
631,2022-12-31,228,2
632,2022-12-31,282,3
633,2022-12-31,127,3
634,2022-12-31,66,3
635,2022-12-31,230,4
636,2022-12-31,292,5
637,2022-12-31,108,5
638,2022-12-31,283,5
639,2022-12-31,122,5
640,2022-12-31,222,5
641,2022-12-31,56,6
642,2022-12-31,145,7
643,2022-12-31,207,8
644,2022-12-31,288,8
645,2022-12-31,66,10
646,2022-12-31,5,11
647,2022-12-31,244,13
648,2022-12-31,291,15
649,2022-12-31,247,18
650,2022-12-31,284,20
651,2022-12-31,111,35
652,2022-12-31,2,35
653,2022-12-31,116,40
654,2022-12-31,289,50
655,2022-12-31,9,53
656,2022-12-31,117,65
657,2022-12-31,172,74
658,2022-12-31,160,132
659,2022-12-31,1,151
660,2022-12-31,116,180
661,2022-12-31,113,190
662,2022-12-31,107,221
663,2022-12-31,208,230
664,2022-12-31,184,267
665,2022-12-31,116,295
666,2022-12-31,158,400
667,2022-12-31,295,525
668,2023-01-01,45,1
669,2023-01-01,290,1
670,2023-01-01,104,1
671,2023-01-01,285,1
672,2023-01-01,60,1
673,2023-01-01,261,1
674,2023-01-01,45,1
675,2023-01-01,136,2
676,2023-01-01,278,2
677,2023-01-01,56,2
678,2023-01-01,228,2
679,2023-01-01,278,2
680,2023-01-01,125,3
681,2023-01-01,136,4
682,2023-01-01,48,4
683,2023-01-01,277,5
684,2023-01-01,37,10
685,2023-01-01,197,22
686,2023-01-01,200,27
687,2023-01-01,181,65
688,2023-01-01,265,90
689,2023-01-01,222,99
690,2023-01-01,7,100
691,2023-01-01,153,143
692,2023-01-01,62,150
693,2023-01-01,222,156
694,2023-01-01,209,193
695,2023-01-01,6,200
696,2023-01-01,247,294
697,2023-01-01,181,421
698,2023-01-01,295,1000
699,2023-01-01,294,3000
700,2023-01-01,156,3780
701,2023-01-01,294,6000
702,2023-01-02,248,1
703,2023-01-02,32,1
704,2023-01-02,98,1
705,2023-01-02,284,1
706,2023-01-02,228,1
707,2023-01-02,56,2
708,2023-01-02,236,2
709,2023-01-02,148,3
710,2023-01-02,225,3
711,2023-01-02,250,4
712,2023-01-02,138,4
713,2023-01-02,254,4
714,2023-01-02,64,5
715,2023-01-02,189,5
716,2023-01-02,144,6
717,2023-01-02,225,6
718,2023-01-02,54,7
719,2023-01-02,261,10
720,2023-01-02,222,10
721,2023-01-02,292,15
722,2023-01-02,301,16
723,2023-01-02,137,17
724,2023-01-02,119,20
725,2023-01-02,302,20
726,2023-01-02,226,21
727,2023-01-02,282,30
728,2023-01-02,154,37
729,2023-01-02,244,39
730,2023-01-02,247,42
731,2023-01-02,116,60
732,2023-01-02,1,70
733,2023-01-02,181,140
734,2023-01-02,9,160
735,2023-01-02,156,250
736,2023-01-02,265,350
737,2023-01-02,126,407
738,2023-01-02,215,435
739,2023-01-02,181,551
740,2023-01-02,152,674
741,2023-01-02,153,1485
742,2023-01-03,99,1
743,2023-01-03,27,1
744,2023-01-03,63,1
745,2023-01-03,58,1
746,2023-01-03,66,1
747,2023-01-03,56,2
748,2023-01-03,62,2
749,2023-01-03,141,2
750,2023-01-03,240,2
751,2023-01-03,97,2
752,2023-01-03,180,3
753,2023-01-03,278,3
754,2023-01-03,65,3
755,2023-01-03,140,5
756,2023-01-03,36,5
757,2023-01-03,222,5
758,2023-01-03,50,5
759,2023-01-03,296,8
760,2023-01-03,288,10
761,2023-01-03,57,10
762,2023-01-03,63,10
763,2023-01-03,144,11
764,2023-01-03,139,11
765,2023-01-03,149,13
766,2023-01-03,155,20
767,2023-01-03,295,20
768,2023-01-03,38,25
769,2023-01-03,251,25
770,2023-01-03,190,33
771,2023-01-03,301,36
772,2023-01-03,196,44
773,2023-01-03,289,50
774,2023-01-03,54,50
775,2023-01-03,7,89
776,2023-01-03,153,94
777,2023-01-03,116,95
778,2023-01-03,106,100
779,2023-01-03,287,100
780,2023-01-03,5,120
781,2023-01-03,204,368
782,2023-01-03,106,395
783,2023-01-03,163,965
784,2023-01-03,303,1440
785,2023-01-03,280,1500
786,2023-01-03,293,2000
787,2023-01-04,226,1
788,2023-01-04,278,1
789,2023-01-04,230,1
790,2023-01-04,195,1
791,2023-01-04,73,1
792,2023-01-04,63,1
793,2023-01-04,150,2
794,2023-01-04,140,2
795,2023-01-04,31,2
796,2023-01-04,285,2
797,2023-01-04,45,3
798,2023-01-04,144,4
799,2023-01-04,256,5
800,2023-01-04,45,5
801,2023-01-04,229,6
802,2023-01-04,218,9
803,2023-01-04,43,10
804,2023-01-04,38,14
805,2023-01-04,109,20
806,2023-01-04,247,24
807,2023-01-04,169,26
808,2023-01-04,211,39
809,2023-01-04,208,50
810,2023-01-04,290,50
811,2023-01-04,290,50
812,2023-01-04,1,60
813,2023-01-04,181,62
814,2023-01-04,155,63
815,2023-01-04,190,92
816,2023-01-04,133,160
817,2023-01-04,289,250
818,2023-01-04,181,250
819,2023-01-04,204,315
820,2023-01-04,6,544
821,2023-01-04,160,735
822,2023-01-04,210,1720
823,2023-01-04,294,3000
824,2023-01-04,293,3060
825,2023-01-04,5,24048
826,2023-01-05,183,1
827,2023-01-05,73,1
828,2023-01-05,94,1
829,2023-01-05,103,1
830,2023-01-05,180,2
831,2023-01-05,241,2
832,2023-01-05,230,2
833,2023-01-05,256,3
834,2023-01-05,281,3
835,2023-01-05,48,3
836,2023-01-05,147,4
837,2023-01-05,38,4
838,2023-01-05,71,5
839,2023-01-05,222,5
840,2023-01-05,143,6
841,2023-01-05,283,8
842,2023-01-05,55,10
843,2023-01-05,251,10
844,2023-01-05,48,10
845,2023-01-05,118,11
846,2023-01-05,297,12
847,2023-01-05,114,20
848,2023-01-05,298,26
849,2023-01-05,111,28
850,2023-01-05,218,31
851,2023-01-05,258,68
852,2023-01-05,190,80
853,2023-01-05,6,116
854,2023-01-05,155,180
855,2023-01-05,295,200
856,2023-01-05,181,282
857,2023-01-05,116,333
858,2023-01-05,116,527
859,2023-01-05,206,813
860,2023-01-05,3,7291
861,2023-01-06,17,1
862,2023-01-06,73,1
863,2023-01-06,100,1
864,2023-01-06,104,1
865,2023-01-06,115,2
866,2023-01-06,277,2
867,2023-01-06,281,2
868,2023-01-06,180,2
869,2023-01-06,56,2
870,2023-01-06,126,2
871,2023-01-06,147,3
872,2023-01-06,254,3
873,2023-01-06,97,3
874,2023-01-06,288,3
875,2023-01-06,127,3
876,2023-01-06,177,3
877,2023-01-06,288,3
878,2023-01-06,254,5
879,2023-01-06,196,5
880,2023-01-06,118,6
881,2023-01-06,121,6
882,2023-01-06,126,11
883,2023-01-06,282,19
884,2023-01-06,119,20
885,2023-01-06,279,20
886,2023-01-06,209,33
887,2023-01-06,111,50
888,2023-01-06,6,50
889,2023-01-06,191,50
890,2023-01-06,13,55
891,2023-01-06,181,92
892,2023-01-06,1,100
893,2023-01-06,227,100
894,2023-01-06,62,140
895,2023-01-06,227,200
896,2023-01-06,181,209
897,2023-01-06,107,350
898,2023-01-06,156,355
899,2023-01-06,108,515
900,2023-01-06,161,525
901,2023-01-06,156,792
902,2023-01-06,210,1207
903,2023-01-06,106,1595
904,2023-01-06,293,7239
905,2023-01-07,137,1
906,2023-01-07,245,1
907,2023-01-07,131,1
908,2023-01-07,234,1
909,2023-01-07,248,1
910,2023-01-07,73,1
911,2023-01-07,50,1
912,2023-01-07,118,2
913,2023-01-07,43,2
914,2023-01-07,281,3
915,2023-01-07,256,3
916,2023-01-07,300,4
917,2023-01-07,63,4
918,2023-01-07,145,5
919,2023-01-07,225,5
920,2023-01-07,177,6
921,2023-01-07,300,7
922,2023-01-07,38,8
923,2023-01-07,123,8
924,2023-01-07,291,10
925,2023-01-07,291,10
926,2023-01-07,50,10
927,2023-01-07,150,33
928,2023-01-07,289,50
929,2023-01-07,54,57
930,2023-01-07,295,74
931,2023-01-07,1,100
932,2023-01-07,265,125
933,2023-01-07,1,200
934,2023-01-07,116,200
935,2023-01-07,295,200
936,2023-01-07,156,224
937,2023-01-07,196,242
938,2023-01-07,107,265
939,2023-01-07,181,284
940,2023-01-07,280,3655
941,2023-01-08,147,1
942,2023-01-08,283,1
943,2023-01-08,127,1
944,2023-01-08,179,1
945,2023-01-08,284,1
946,2023-01-08,248,1
947,2023-01-08,17,1
948,2023-01-08,261,1
949,2023-01-08,226,2
950,2023-01-08,105,2
951,2023-01-08,180,2
952,2023-01-08,195,3
953,2023-01-08,79,3
954,2023-01-08,288,3
955,2023-01-08,137,4
956,2023-01-08,282,5
957,2023-01-08,56,5
958,2023-01-08,118,6
959,2023-01-08,193,6
960,2023-01-08,256,10
961,2023-01-08,115,18
962,2023-01-08,300,20
963,2023-01-08,113,50
964,2023-01-08,116,50
965,2023-01-08,208,55
966,2023-01-08,106,75
967,2023-01-08,258,135
968,2023-01-08,116,145
969,2023-01-08,108,150
970,2023-01-08,153,170
971,2023-01-08,212,237
972,2023-01-08,265,450
973,2023-01-08,294,2243
974,2023-01-08,293,3000
975,2023-01-09,56,1
976,2023-01-09,65,1
977,2023-01-09,93,1
978,2023-01-09,105,1
979,2023-01-09,114,2
980,2023-01-09,248,2
981,2023-01-09,64,2
982,2023-01-09,43,2
983,2023-01-09,122,2
984,2023-01-09,285,2
985,2023-01-09,245,4
986,2023-01-09,229,4
987,2023-01-09,149,5
988,2023-01-09,254,6
989,2023-01-09,123,6
990,2023-01-09,213,8
991,2023-01-09,151,8
992,2023-01-09,298,10
993,2023-01-09,118,12
994,2023-01-09,14,20
995,2023-01-09,255,30
996,2023-01-09,290,30
997,2023-01-09,107,40
998,2023-01-09,290,60
999,2023-01-09,258,68
1000,2023-01-09,107,75
1001,2023-01-09,158,105
1002,2023-01-09,222,146
1003,2023-01-09,190,190
1004,2023-01-09,152,198
1005,2023-01-09,265,200
1006,2023-01-09,156,408
1007,2023-01-09,167,924
1008,2023-01-09,294,1000
1009,2023-01-09,5,9445
1010,2023-01-10,27,1
1011,2023-01-10,183,1
1012,2023-01-10,105,1
1013,2023-01-10,73,1
1014,2023-01-10,222,1
1015,2023-01-10,49,1
1016,2023-01-10,101,1
1017,2023-01-10,298,2
1018,2023-01-10,65,2
1019,2023-01-10,182,2
1020,2023-01-10,105,2
1021,2023-01-10,183,2
1022,2023-01-10,144,2
1023,2023-01-10,244,3
1024,2023-01-10,119,3
1025,2023-01-10,222,3
1026,2023-01-10,50,3
1027,2023-01-10,105,4
1028,2023-01-10,277,5
1029,2023-01-10,283,5
1030,2023-01-10,189,5
1031,2023-01-10,56,6
1032,2023-01-10,282,10
1033,2023-01-10,282,10
1034,2023-01-10,225,12
1035,2023-01-10,301,13
1036,2023-01-10,48,15
1037,2023-01-10,247,18
1038,2023-01-10,9,40
1039,2023-01-10,190,42
1040,2023-01-10,181,45
1041,2023-01-10,152,50
1042,2023-01-10,137,60
1043,2023-01-10,161,63
1044,2023-01-10,9,75
1045,2023-01-10,10,90
1046,2023-01-10,55,180
1047,2023-01-10,107,185
1048,2023-01-10,116,308
1049,2023-01-10,294,500
1050,2023-01-10,181,500
1051,2023-01-10,293,683
1052,2023-01-10,204,726
1053,2023-01-10,160,991
1054,2023-01-10,206,1745
1055,2023-01-10,5,4963
1056,2023-01-10,303,5250
1057,2023-01-10,293,7327
1058,2023-01-11,240,1
1059,2023-01-11,240,1
1060,2023-01-11,279,1
1061,2023-01-11,286,1
1062,2023-01-11,234,1
1063,2023-01-11,292,2
1064,2023-01-11,183,2
